Canonical,No_hidden,Single_hidden,Multiple
0,x,,
1,x,,
3,x,,
6,,2,"[[3, 2]]"
7,x,,
15,x,,
22,,3,"[[3, 2]]"
23,x,,
24,,2,"[[3, 3], [4, 2]]"
25,,2,"[[2, 2]]"
27,,2,"[[2, 2]]"
30,,2,"[[2, 2]]"
31,x,,
60,,2,"[[2, 2]]"
61,,2,"[[2, 2]]"
63,x,,
105,,3,"[[5, 2]]"
107,,2,"[[3, 2]]"
111,,2,"[[4, 2]]"
126,,2,"[[3, 2]]"
127,x,,
255,x,,
278,,2,"[[2, 2]]"
279,x,,
280,,2,"[[3, 3]]"
281,,3,"[[3, 2]]"
282,,2,"[[2, 2]]"
283,,2,"[[3, 2]]"
286,,2,"[[2, 2]]"
287,x,,
300,,3,"[[4, 3]]"
301,,3,"[[3, 2]]"
303,,2,"[[3, 2]]"
316,,2,"[[2, 2]]"
317,,2,"[[3, 3]]"
318,,2,"[[3, 3]]"
319,x,,
360,,3,"[[3, 2]]"
361,,3,"[[4, 2]]"
362,,2,"[[3, 2]]"
363,,3,"[[3, 3]]"
366,,2,"[[3, 2]]"
367,,2,"[[3, 2]]"
382,,2,"[[3, 2]]"
383,x,,
384,,2,"[[3, 3]]"
385,,2,"[[2, 2]]"
386,,2,"[[4, 4], [5, 3]]"
387,,2,"[[3, 3], [4, 2]]"
390,,2,"[[4, 3]]"
391,,3,"[[3, 2]]"
393,,2,"[[3, 2]]"
395,,2,"[[2, 2]]"
399,,2,"[[2, 2]]"
406,,3,"[[4, 3]]"
407,,2,"[[3, 2]]"
408,,3,"[[3, 3]]"
409,,2,"[[2, 2]]"
410,,2,"[[4, 2]]"
411,,2,"[[2, 2]]"
414,,3,"[[4, 3]]"
415,,2,"[[3, 2]]"
424,,2,"[[3, 3], [4, 2]]"
425,,2,"[[3, 3], [4, 2]]"
426,,2,"[[3, 3], [4, 2]]"
427,,2,"[[3, 2]]"
428,,3,"[[3, 3], [4, 2]]"
429,,2,"[[3, 2]]"
430,,3,"[[3, 3], [4, 2]]"
431,,2,"[[2, 2]]"
444,,3,"[[2, 2]]"
445,,2,"[[3, 2]]"
446,,3,"[[4, 3]]"
447,,2,"[[3, 2]]"
488,,2,"[[3, 2]]"
489,,2,"[[2, 2]]"
490,,2,"[[2, 2]]"
491,,2,"[[3, 2]]"
494,,2,"[[2, 2]]"
495,,2,"[[3, 2]]"
510,,2,"[[3, 3], [4, 2]]"
828,,2,"[[2, 2]]"
829,,2,"[[2, 2]]"
831,x,,
854,,2,"[[3, 2]]"
855,,2,"[[3, 2]]"
856,,3,"[[3, 2]]"
857,,3,"[[3, 2]]"
858,,2,"[[3, 2]]"
859,,2,"[[3, 2]]"
862,,3,"[[3, 2]]"
863,,2,"[[2, 2]]"
872,,3,"[[3, 2]]"
873,,3,"[[4, 3], [5, 2]]"
874,,3,"[[3, 3]]"
875,,2,"[[2, 2]]"
876,,2,"[[4, 3], [5, 2]]"
877,,3,"[[4, 3], [5, 2]]"
878,,2,"[[3, 3], [4, 2]]"
879,,2,"[[2, 2]]"
892,,2,"[[3, 2]]"
893,,2,"[[3, 2]]"
894,,2,"[[4, 2]]"
960,,2,"[[2, 2]]"
961,,2,"[[2, 2]]"
963,,2,"[[2, 2]]"
965,,2,"[[3, 2]]"
966,,2,"[[3, 3], [4, 2]]"
967,,2,"[[3, 2]]"
975,,2,"[[2, 2]]"
980,,2,"[[2, 2]]"
981,,2,"[[3, 2]]"
982,,2,"[[2, 2]]"
983,,2,"[[2, 2]]"
984,,3,"[[3, 2]]"
985,,3,"[[3, 2]]"
987,,2,"[[3, 2]]"
988,,2,"[[2, 2]]"
989,,2,"[[3, 2]]"
990,,3,"[[3, 3], [4, 2]]"
1020,,2,"[[2, 2]]"
1632,,3,"[[2, 2]]"
1633,,3,"[[3, 2]]"
1634,,3,"[[3, 2]]"
1635,,2,"[[3, 2]]"
1638,,2,"[[2, 2]]"
1639,,2,"[[2, 2]]"
1641,,3,"[[3, 2]]"
1643,,3,"[[3, 2]]"
1647,,2,"[[3, 2]]"
1650,,3,"[[3, 2]]"
1651,,2,"[[3, 3], [4, 2]]"
1654,,2,"[[3, 2]]"
1656,,3,"[[3, 2]]"
1657,,3,"[[3, 3], [4, 2]]"
1658,,2,"[[4, 3], [5, 2]]"
1659,,3,"[[3, 3]]"
1662,,2,"[[2, 2]]"
1680,,3,"[[4, 3], [5, 2]]"
1681,,3,"[[4, 2]]"
1683,,3,"[[4, 2]]"
1686,,3,"[[3, 2]]"
1687,,3,"[[4, 2]]"
1695,,3,"[[4, 2]]"
1712,,3,"[[4, 2]]"
1713,,3,"[[3, 2]]"
1714,,3,"[[3, 3], [4, 2]]"
1715,,3,"[[3, 3]]"
1716,,3,"[[3, 3], [4, 2]]"
1717,,3,"[[4, 2]]"
1718,,3,"[[4, 2]]"
1719,,3,"[[4, 2]]"
1721,,3,"[[3, 2]]"
1725,,3,"[[3, 3], [4, 2]]"
1776,,3,"[[3, 2]]"
1777,,2,"[[3, 2]]"
1778,,3,"[[3, 2]]"
1782,,3,"[[3, 2]]"
1785,,3,"[[4, 2]]"
1910,,3,"[[3, 3], [4, 2]]"
1912,,2,"[[2, 2]]"
1913,,3,"[[4, 3], [5, 2]]"
1914,,2,"[[2, 2]]"
1918,,2,"[[3, 3]]"
1968,,2,"[[2, 2]]"
1969,,2,"[[3, 2]]"
1972,,3,"[[3, 3], [4, 2]]"
1973,,3,"[[2, 2]]"
1974,,3,"[[3, 2]]"
1980,,3,"[[3, 3]]"
2016,,2,"[[3, 2]]"
2017,,2,"[[2, 2]]"
2018,,3,"[[3, 2]]"
2019,,2,"[[2, 2]]"
2022,,3,"[[4, 3], [5, 2]]"
2025,,2,"[[2, 2]]"
2032,,2,"[[2, 2]]"
2033,,2,"[[2, 2]]"
2034,,2,"[[2, 2]]"
2040,,2,"[[2, 2]]"
4080,,2,"[[2, 2]]"
5736,,3,"[[3, 3], [4, 2]]"
5737,,4,"[[4, 3]]"
5738,,3,"[[3, 3], [4, 2]]"
5739,,3,"[[5, 2]]"
5742,,2,"[[2, 2]]"
5758,,2,"[[3, 2]]"
5761,,3,"[[4, 3], [5, 2]]"
5763,,3,"[[3, 2]]"
5766,,3,"[[4, 3], [5, 2]]"
5767,,3,"[[3, 2]]"
5769,,3,"[[3, 2]]"
5771,,4,"[[4, 2]]"
5774,,3,"[[4, 2]]"
5782,,3,"[[4, 2]]"
5783,,3,"[[4, 2]]"
5784,,3,"[[3, 3], [4, 2]]"
5785,,3,"[[3, 2]]"
5786,,3,"[[4, 3], [5, 2]]"
5787,,3,"[[4, 2]]"
5790,,3,"[[3, 2]]"
5801,,3,"[[4, 2]]"
5804,,3,"[[4, 4], [6, 2]]"
5805,,3,"[[4, 3]]"
5820,,3,"[[3, 3], [4, 2]]"
5865,,3,"[[3, 3]]"
6014,,2,"[[2, 2]]"
6030,,2,"[[3, 2]]"
6038,,3,"[[3, 3]]"
6040,,3,"[[4, 3], [5, 2]]"
6042,,3,"[[3, 3]]"
6060,,3,"[[4, 2]]"
6120,,2,"[[2, 2]]"
6375,,3,"[[3, 3], [4, 2]]"
6625,,4,"[[4, 3], [5, 2]]"
6627,,3,"[[5, 3], [6, 2]]"
6630,,3,"[[3, 3], [4, 2]]"
7128,,3,"[[3, 2]]"
7140,,3,"[[4, 3], [5, 2]]"
7905,,3,"[[3, 3], [4, 2]]"
15555,,3,"[[4, 2]]"
27030,,4,"[[6, 2]]"
