Canonical,No_hidden,Single_hidden,Multiple
0,x,,
1,x,,
3,x,,
6,,2,"[[2, 2]]"
7,x,,
15,x,,
22,,2,"[[2, 2]]"
23,x,,
24,,2,"[[2, 2]]"
25,,2,"[[2, 2]]"
27,,2,"[[2, 2]]"
30,,2,"[[2, 2]]"
31,x,,
60,,2,"[[2, 2]]"
61,,2,"[[2, 2]]"
63,x,,
105,,2,"[[2, 2]]"
107,,2,"[[2, 2]]"
111,,2,"[[2, 2]]"
126,,2,"[[2, 2]]"
127,x,,
255,x,,
278,,2,"[[2, 2]]"
279,x,,
280,,2,"[[2, 2]]"
281,,2,"[[2, 2]]"
282,,2,"[[2, 2]]"
283,,2,"[[2, 2]]"
286,,4,"[[3, 2]]"
287,x,,
300,,3,"[[2, 2]]"
301,,2,"[[2, 2]]"
303,,2,"[[2, 2]]"
316,,2,"[[2, 2]]"
317,,2,"[[3, 2]]"
318,,2,"[[3, 3]]"
319,x,,
360,,2,"[[2, 2]]"
361,,2,"[[2, 2]]"
362,,2,"[[3, 2]]"
363,,2,"[[2, 2]]"
366,,2,"[[2, 2]]"
367,,2,"[[2, 2]]"
382,,2,"[[2, 2]]"
383,x,,
384,,2,"[[2, 2]]"
385,,2,"[[2, 2]]"
386,,2,"[[3, 2]]"
387,,2,"[[2, 2]]"
390,,3,"[[3, 2]]"
391,,4,"[[2, 2]]"
393,,2,"[[2, 2]]"
395,,2,"[[2, 2]]"
399,,2,"[[2, 2]]"
406,,3,"[[3, 2]]"
407,,2,"[[2, 2]]"
408,,3,"[[2, 2]]"
409,,2,"[[2, 2]]"
410,,3,"[[2, 2]]"
411,,2,"[[2, 2]]"
414,,3,"[[2, 2]]"
415,,2,"[[2, 2]]"
424,,2,"[[2, 2]]"
425,,2,"[[2, 2]]"
426,,3,"[[2, 2]]"
427,,2,"[[2, 2]]"
428,,3,"[[2, 2]]"
429,,2,"[[2, 2]]"
430,,3,"[[2, 2]]"
431,,2,"[[2, 2]]"
444,,2,"[[3, 2]]"
445,,2,"[[2, 2]]"
446,,3,"[[2, 2]]"
447,,2,"[[2, 2]]"
488,,2,"[[2, 2]]"
489,,2,"[[2, 2]]"
490,,2,"[[3, 2]]"
491,,2,"[[2, 2]]"
494,,3,"[[2, 2]]"
495,,2,"[[2, 2]]"
510,,3,"[[3, 3]]"
828,,2,"[[2, 2]]"
829,,3,"[[2, 2]]"
831,x,,
854,,3,"[[3, 2]]"
855,,2,"[[2, 2]]"
856,,3,"[[2, 2]]"
857,,3,"[[3, 2]]"
858,,2,"[[2, 2]]"
859,,3,"[[2, 2]]"
862,,3,"[[4, 3]]"
863,,2,"[[2, 2]]"
872,,3,"[[2, 2]]"
873,,3,"[[3, 2]]"
874,,4,"[[3, 3], [4, 2]]"
875,,2,"[[3, 2]]"
876,,2,"[[2, 2]]"
877,,3,"[[3, 2]]"
878,,3,"[[2, 2]]"
879,,2,"[[2, 2]]"
892,,2,"[[2, 2]]"
893,,3,"[[2, 2]]"
894,,2,"[[4, 4]]"
960,,2,"[[2, 2]]"
961,,2,"[[2, 2]]"
963,,2,"[[2, 2]]"
965,,2,"[[2, 2]]"
966,,2,"[[2, 2]]"
967,,2,"[[2, 2]]"
975,,2,"[[2, 2]]"
980,,2,"[[2, 2]]"
981,,2,"[[2, 2]]"
982,,2,"[[2, 2]]"
983,,2,"[[2, 2]]"
984,,3,"[[2, 2]]"
985,,3,"[[2, 2]]"
987,,2,"[[2, 2]]"
988,,2,"[[2, 2]]"
989,,2,"[[2, 2]]"
990,,3,"[[2, 2]]"
1020,,3,"[[2, 2]]"
1632,,3,"[[2, 2]]"
1633,,3,"[[2, 2]]"
1634,,3,"[[3, 2]]"
1635,,3,"[[3, 2]]"
1638,,2,"[[2, 2]]"
1639,,2,"[[2, 2]]"
1641,,3,"[[3, 2]]"
1643,,4,"[[3, 2]]"
1647,,2,"[[2, 2]]"
1650,,3,"[[3, 3], [4, 2]]"
1651,,4,"[[3, 2]]"
1654,,2,"[[3, 2]]"
1656,,3,"[[2, 2]]"
1657,,3,"[[3, 2]]"
1658,,2,"[[2, 2]]"
1659,,5,"[[4, 2]]"
1662,,2,"[[2, 2]]"
1680,,3,"[[3, 2]]"
1681,,3,"[[2, 2]]"
1683,,3,"[[3, 2]]"
1686,,2,"[[2, 2]]"
1687,,2,"[[2, 2]]"
1695,,2,"[[2, 2]]"
1712,,3,"[[3, 2]]"
1713,,3,"[[2, 2]]"
1714,,3,"[[3, 3]]"
1715,,3,"[[3, 3]]"
1716,,3,"[[2, 2]]"
1717,,3,"[[3, 2]]"
1718,,2,"[[2, 2]]"
1719,,2,"[[2, 2]]"
1721,,3,"[[3, 3], [4, 2]]"
1725,,2,"[[2, 2]]"
1776,,3,"[[3, 2]]"
1777,,4,"[[3, 2]]"
1778,,3,"[[3, 2]]"
1782,,2,"[[2, 2]]"
1785,,3,"[[3, 2]]"
1910,,3,"[[2, 2]]"
1912,,2,"[[2, 2]]"
1913,,3,"[[2, 2]]"
1914,,2,"[[2, 2]]"
1918,,2,"[[2, 2]]"
1968,,2,"[[2, 2]]"
1969,,2,"[[2, 2]]"
1972,,2,"[[2, 2]]"
1973,,2,"[[2, 2]]"
1974,,3,"[[3, 2]]"
1980,,3,"[[2, 2]]"
2016,,2,"[[2, 2]]"
2017,,2,"[[2, 2]]"
2018,,2,"[[2, 2]]"
2019,,2,"[[2, 2]]"
2022,,2,"[[3, 2]]"
2025,,2,"[[2, 2]]"
2032,,2,"[[2, 2]]"
2033,,2,"[[2, 2]]"
2034,,2,"[[2, 2]]"
2040,,2,"[[2, 2]]"
4080,,2,"[[2, 2]]"
5736,,3,"[[2, 2]]"
5737,,2,"[[2, 2]]"
5738,,3,"[[3, 2]]"
5739,,3,"[[2, 2]]"
5742,,3,"[[2, 2]]"
5758,,2,"[[2, 2]]"
5761,,2,"[[2, 2]]"
5763,,3,"[[2, 2]]"
5766,,3,"[[2, 2]]"
5767,,2,"[[2, 2]]"
5769,,2,"[[2, 2]]"
5771,,2,"[[3, 2]]"
5774,,4,"[[3, 3], [4, 2]]"
5782,,2,"[[2, 2]]"
5783,,2,"[[2, 2]]"
5784,,3,"[[3, 2]]"
5785,,2,"[[2, 2]]"
5786,,3,"[[2, 2]]"
5787,,2,"[[2, 2]]"
5790,,2,"[[2, 2]]"
5801,,3,"[[3, 2]]"
5804,,3,"[[3, 2]]"
5805,,3,"[[2, 2]]"
5820,,3,"[[2, 2]]"
5865,,3,"[[3, 2]]"
6014,,2,"[[2, 2]]"
6030,,2,"[[2, 2]]"
6038,,3,"[[2, 2]]"
6040,,3,"[[3, 2]]"
6042,,3,"[[3, 2]]"
6060,,2,"[[2, 2]]"
6120,,2,"[[2, 2]]"
6375,,3,"[[3, 2]]"
6625,,3,"[[2, 2]]"
6627,,3,"[[2, 2]]"
6630,,3,"[[2, 2]]"
7128,,3,"[[2, 2]]"
7140,,3,"[[3, 2]]"
7905,,3,"[[3, 2]]"
15555,,2,"[[2, 2]]"
27030,,4,"[[3, 2]]"
