canonical,architecture,best_lr,success_rate
1633,[2],0.006,0.2
107,[3],0.006,0.3
111,[2],0.006,0.2
1632,[2],0.006,0.2
105,[3],0.006,0.2
1020,[2],0.004,0.0
126,[2],0.004,0.6
15555,[3],0.005,0.8
1635,[2],0.005,0.1
1634,[2],0.005,0.1
1638,[2],0.006,0.5
1647,[2],0.006,0.5
1641,[3],0.006,0.4
1643,[3],0.004,0.4
1639,[2],0.006,0.6
1650,[3],0.004,0.5
1651,[2],0.004,0.2
1656,[2],0.006,0.2
1654,[2],0.006,0.3
1658,[3],0.006,0.5
1657,[3],0.005,0.5
1659,[3],0.006,0.6
1680,[3],0.006,0.4
1662,[2],0.005,0.5
1683,[3],0.005,0.6
1695,[3],0.005,0.8
1681,[3],0.005,0.5
1686,[3],0.006,0.7
1714,[3],0.005,0.3
1687,[3],0.005,0.6
1712,[3],0.006,0.2
1713,[3],0.006,0.5
1715,[3],0.004,0.3
1719,[3],0.005,0.3
1716,[3],0.005,0.4
1721,[3],0.006,0.4
1718,[3],0.006,0.8
1717,[3],0.005,0.5
1725,[3],0.006,0.4
1776,[3],0.004,0.5
1785,[3],0.006,0.2
1778,[3],0.005,0.4
1777,[2],0.006,0.0
1910,[3],0.004,0.0
1912,[2],0.005,0.0
1782,[3],0.005,0.6
1913,[3],0.005,0.3
1918,[2],0.004,0.1
1914,[2],0.005,0.3
1973,[2],0.005,0.0
1969,[2],0.006,0.2
1968,[2],0.006,0.5
1972,[3],0.004,0.4
1974,[3],0.004,0.3
2017,[2],0.005,0.2
1980,[3],0.005,0.4
2025,[2],0.004,0.0
2016,[2],0.006,0.8
2019,[2],0.004,0.3
2022,[3],0.006,0.5
2018,[3],0.005,0.6
2032,[2],0.005,0.5
2033,[2],0.004,0.2
22,[2],0.004,0.2
2040,[2],0.006,0.1
2034,[2],0.006,0.3
24,[2],0.006,0.4
25,[2],0.004,0.2
27,[2],0.006,0.4
278,[3],0.006,0.1
27030,[5],0.004,0.4
280,[2],0.005,0.2
286,[2],0.006,0.1
283,[2],0.006,0.2
281,[2],0.006,0.4
282,[2],0.006,0.2
301,[2],0.005,0.0
30,[2],0.006,0.5
300,[3],0.005,0.5
303,[2],0.004,0.1
317,[2],0.005,0.0
318,[3],0.004,0.1
316,[2],0.005,0.2
360,[3],0.004,0.5
363,[3],0.006,0.5
366,[2],0.005,0.0
367,[3],0.004,0.4
362,[3],0.004,0.6
361,[3],0.006,0.7
382,[2],0.005,0.0
384,[2],0.005,0.8
387,[2],0.004,0.0
386,[2],0.006,0.1
391,[2],0.004,0.2
385,[2],0.005,0.4
393,[2],0.006,0.4
390,[3],0.006,0.5
395,[2],0.006,0.3
399,[2],0.006,0.3
406,[3],0.006,0.2
407,[3],0.006,0.2
409,[2],0.005,0.2
411,[2],0.004,0.3
408,[3],0.006,0.4
4080,[2],0.006,0.8
410,[3],0.004,0.6
415,[2],0.005,0.1
414,[3],0.006,0.2
424,[2],0.004,0.3
426,[3],0.004,0.4
425,[3],0.004,0.7
430,[2],0.005,0.1
427,[2],0.005,0.5
428,[3],0.004,0.3
429,[2],0.005,0.3
431,[2],0.005,0.5
444,[3],0.006,0.3
446,[3],0.005,0.0
445,[2],0.006,0.2
447,[2],0.006,0.4
488,[2],0.004,0.2
489,[2],0.004,0.1
490,[2],0.004,0.1
491,[2],0.005,0.0
494,[3],0.006,0.4
5736,[2],0.004,0.1
510,[3],0.004,0.1
495,[3],0.004,0.7
5737,[3],0.006,0.1
5739,[3],0.006,0.4
5742,[3],0.005,0.4
5738,[3],0.005,0.6
5758,[2],0.005,0.3
5763,[3],0.004,0.5
5761,[3],0.004,0.7
5766,[3],0.006,0.5
5767,[3],0.006,0.5
5769,[3],0.006,0.6
5774,[3],0.005,0.3
5783,[3],0.005,0.6
5771,[3],0.005,0.7
5782,[3],0.004,0.6
5784,[3],0.006,0.3
5786,[3],0.006,0.6
5785,[3],0.005,0.9
5790,[3],0.006,0.3
5787,[3],0.004,0.6
5820,[3],0.006,0.2
6,[2],0.006,0.3
5804,[3],0.006,0.4
5805,[3],0.005,0.5
5801,[3],0.005,0.5
5865,[3],0.005,0.1
6014,[2],0.004,0.0
60,[2],0.004,0.4
6030,[2],0.006,0.2
61,[2],0.006,0.5
6038,[3],0.004,0.3
6040,[3],0.006,0.4
6060,[3],0.006,0.3
6042,[3],0.005,0.4
6375,[3],0.004,0.5
6625,[3],0.006,0.1
6120,[2],0.004,0.7
6627,[3],0.006,0.2
6630,[3],0.005,0.6
7128,[3],0.005,0.3
7140,[3],0.006,0.5
854,[2],0.005,0.0
828,[2],0.004,0.0
829,[3],0.004,0.2
7905,[3],0.006,0.6
855,[2],0.006,0.2
859,[2],0.006,0.2
862,[3],0.004,0.0
857,[3],0.006,0.3
856,[3],0.006,0.3
858,[2],0.006,0.0
863,[2],0.005,0.3
873,[3],0.004,0.2
872,[3],0.006,0.5
874,[3],0.004,0.3
879,[3],0.004,0.4
876,[2],0.004,0.1
875,[3],0.006,0.6
878,[2],0.006,0.3
877,[3],0.004,0.2
893,[3],0.006,0.3
892,[2],0.006,0.1
894,[2],0.004,0.0
961,[2],0.006,0.5
965,[2],0.004,0.2
960,[2],0.004,0.7
963,[2],0.004,0.5
966,[2],0.006,0.2
967,[2],0.005,0.4
980,[2],0.006,0.3
975,[2],0.005,0.9
981,[2],0.004,0.2
982,[2],0.005,0.1
983,[2],0.006,0.4
984,[3],0.006,0.6
985,[3],0.006,0.5
989,[2],0.006,0.0
988,[2],0.006,0.2
990,[2],0.006,0.0
987,[2],0.006,0.4
