canonical,architecture,best_bs,success_rate
105,[2],4.0,0.2
15555,[2],16.0,0.0
1020,[3],16.0,0.0
107,[2],16.0,0.0
1632,[2],16.0,0.0
126,[2],16.0,0.9
1633,[2],16.0,0.1
111,[2],8.0,1.0
1635,[3],8.0,0.3
1634,[3],8.0,0.2
1638,[2],16.0,0.8
1641,[3],4.0,0.1
1643,[4],8.0,0.2
1647,[2],4.0,0.8
1639,[2],16.0,0.9
1650,[3],8.0,0.1
1651,[3],4.0,0.4
1654,[3],16.0,0.5
1657,[3],16.0,0.0
1659,[3],8.0,0.0
1656,[3],8.0,0.6
1658,[3],8.0,0.3
1662,[2],8.0,0.7
1680,[3],16.0,0.7
1681,[3],16.0,0.6
1686,[3],8.0,0.8
1683,[3],16.0,0.6
1687,[3],4.0,0.7
1712,[3],16.0,0.1
1695,[2],8.0,0.6
1713,[3],16.0,0.0
1714,[4],4.0,0.4
1715,[3],4.0,0.1
1721,[3],16.0,0.0
1716,[4],16.0,0.8
1717,[3],8.0,0.4
1718,[3],8.0,0.7
1719,[3],16.0,0.5
1725,[3],4.0,0.1
1776,[4],16.0,0.5
1777,[4],16.0,0.6
1778,[3],4.0,0.0
1785,[4],16.0,0.4
1910,[3],8.0,0.2
1912,[3],8.0,0.8
1782,[3],16.0,0.6
1913,[3],8.0,0.1
1914,[3],4.0,0.5
1918,[3],4.0,0.1
1974,[3],4.0,0.1
1968,[2],16.0,0.6
1969,[2],16.0,0.2
1973,[3],8.0,0.7
1972,[3],8.0,0.4
1980,[3],8.0,0.1
2016,[2],16.0,0.6
2017,[2],16.0,0.4
2022,[3],16.0,0.2
2019,[3],8.0,0.6
2025,[2],16.0,0.1
2032,[2],16.0,0.5
2018,[2],8.0,0.3
2033,[2],4.0,0.9
2040,[2],16.0,0.2
2034,[2],4.0,0.6
22,[2],16.0,0.2
25,[2],8.0,0.5
278,[3],16.0,0.0
27,[2],4.0,1.0
27030,[5],16.0,0.2
24,[2],16.0,0.9
281,[2],16.0,0.2
280,[3],16.0,0.9
282,[2],16.0,0.2
286,[4],4.0,0.2
283,[2],8.0,0.6
30,[2],4.0,0.3
300,[3],4.0,0.8
301,[2],16.0,0.0
316,[2],4.0,0.0
303,[2],16.0,0.9
317,[2],16.0,0.1
318,[3],16.0,0.0
360,[3],8.0,0.7
361,[3],4.0,0.9
363,[3],8.0,0.5
362,[3],4.0,0.8
382,[3],16.0,0.0
366,[3],4.0,0.6
367,[2],16.0,0.9
385,[2],4.0,0.5
384,[2],16.0,1.0
390,[3],8.0,0.1
386,[3],8.0,0.4
391,[3],4.0,0.3
387,[2],4.0,0.6
393,[2],4.0,0.8
407,[2],8.0,0.1
399,[2],16.0,0.9
