canonical,architecture,best_lr,best_bs,success_rate
105,[2],0.005,4,0.2
15555,[2],0.004,16,0.0
1020,[3],0.004,4,0.1
107,[2],0.006,4,0.1
1632,[2],0.005,16,0.0
126,[2],0.004,16,0.9
1633,[2],0.004,8,0.2
111,[2],0.004,8,1.0
1635,[3],0.004,8,0.3
1634,[3],0.004,8,0.2
1638,[2],0.004,16,0.8
1641,[3],0.004,4,0.1
1643,[4],0.004,8,0.2
1647,[2],0.004,4,0.8
1639,[2],0.004,16,0.9
1650,[3],0.005,8,0.1
1651,[3],0.004,4,0.4
1654,[3],0.004,16,0.5
1657,[3],0.004,16,0.0
1659,[3],0.004,8,0.0
1656,[3],0.004,8,0.6
1658,[3],0.005,8,0.3
1662,[2],0.004,8,0.7
1680,[3],0.005,16,0.7
1681,[3],0.006,16,0.6
1683,[3],0.004,16,0.6
1686,[3],0.004,8,0.8
1687,[3],0.004,4,0.7
1712,[3],0.004,16,0.1
1695,[2],0.006,16,0.6
1713,[3],0.004,16,0.0
1714,[4],0.006,4,0.5
1715,[3],0.004,4,0.1
1721,[3],0.006,16,0.0
1718,[3],0.004,4,0.7
1717,[3],0.004,8,0.4
1716,[4],0.004,16,0.8
1719,[3],0.006,16,0.6
1725,[3],0.004,4,0.1
1776,[4],0.005,16,0.5
1777,[4],0.004,16,0.6
1778,[3],0.004,4,0.0
1785,[4],0.004,16,0.4
1910,[3],0.004,8,0.2
1912,[3],0.004,8,0.8
1782,[3],0.004,16,0.6
1913,[3],0.004,8,0.1
1918,[3],0.004,4,0.1
1914,[3],0.004,4,0.5
1974,[3],0.004,8,0.1
1969,[2],0.006,8,0.3
1968,[2],0.006,16,0.7
1972,[3],0.005,8,0.4
1973,[3],0.004,8,0.7
1980,[3],0.004,8,0.1
2016,[2],0.004,16,0.6
2017,[2],0.004,16,0.4
2022,[3],0.004,16,0.2
2019,[3],0.004,8,0.6
2025,[2],0.004,16,0.1
2032,[2],0.004,16,0.5
2018,[2],0.005,8,0.3
2033,[2],0.004,4,0.9
2040,[2],0.005,16,0.2
2034,[2],0.006,4,0.6
22,[2],0.005,16,0.2
25,[2],0.004,8,0.5
27,[2],0.004,4,1.0
27030,[5],0.005,16,0.2
278,[3],0.004,4,0.1
24,[2],0.005,16,0.9
281,[2],0.004,16,0.2
280,[3],0.004,16,0.9
282,[2],0.005,16,0.2
283,[2],0.004,8,0.7
286,[4],0.006,8,0.2
30,[2],0.004,4,0.3
300,[3],0.006,16,0.8
301,[2],0.004,16,0.0
303,[2],0.004,16,0.9
316,[2],0.004,4,0.0
317,[2],0.004,16,0.1
318,[3],0.004,16,0.0
360,[3],0.004,8,0.7
361,[3],0.004,4,0.9
363,[3],0.005,8,0.5
362,[3],0.004,4,0.8
382,[3],0.004,16,0.0
366,[3],0.004,4,0.6
367,[2],0.005,16,0.9
385,[2],0.004,4,0.5
384,[2],0.004,16,1.0
390,[3],0.004,8,0.1
386,[3],0.005,8,0.4
391,[3],0.005,4,0.3
387,[2],0.005,4,0.6
393,[2],0.005,4,0.8
407,[2],0.005,8,0.1
395,[2],0.004,16,0.5
399,[2],0.004,16,0.9
406,[3],0.004,4,0.2
4080,[2],0.006,4,0.9
408,[3],0.004,16,0.1
409,[2],0.004,16,0.6
410,[3],0.005,8,0.1
414,[3],0.005,16,0.0
411,[2],0.005,4,0.4
426,[3],0.004,16,0.0
424,[3],0.004,16,0.3
415,[2],0.005,16,0.7
427,[2],0.004,8,0.3
425,[3],0.005,16,0.8
428,[4],0.004,16,0.4
430,[3],0.004,8,0.1
444,[3],0.006,4,0.1
429,[3],0.004,8,0.9
445,[2],0.004,16,0.4
431,[2],0.004,16,1.0
446,[3],0.004,16,0.0
447,[2],0.006,4,0.9
488,[2],0.004,8,0.1
489,[2],0.004,16,0.2
