canonical,min_architecture,seed,lr,batch_size,clip,model_type,attempts,epochs,delta,patience,accuracy,success
126,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
111,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1633,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1635,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1638,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
105,[2],1,0.005,4,,continuous,458,10000,0.01,100,100.0,1
1647,[2],0,0.004,4,,continuous,458,10000,0.01,100,100.0,1
1639,[2],0,0.004,16,,continuous,458,10000,0.01,100,100.0,1
107,[2],4,0.006,4,,continuous,458,10000,0.01,100,100.0,1
1651,[2],0,0.004,4,,continuous,458,10000,0.01,100,100.0,1
1632,[2],22,0.005,16,,continuous,458,10000,0.01,100,100.0,1
15555,[2],26,0.004,16,,continuous,458,10000,0.01,100,100.0,1
1654,[2],14,0.004,16,,continuous,458,10000,0.01,100,100.0,1
1020,[2],17,0.004,4,,continuous,458,10000,0.01,100,100.0,1
1656,[2],3,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1662,[2],0,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1634,[2],22,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1658,[2],196,0.005,8,,continuous,458,10000,0.01,100,100.0,1
1681,[3],1,0.006,16,,continuous,458,10000,0.01,100,100.0,1
1680,[3],1,0.005,16,,continuous,458,10000,0.01,100,100.0,1
1686,[2],42,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1657,[3],10,0.004,16,,continuous,458,10000,0.01,100,100.0,1
1695,[2],2,0.006,16,,continuous,458,10000,0.01,100,100.0,1
1687,[2],81,0.004,4,,continuous,458,10000,0.01,100,100.0,1
1683,[3],3,0.004,16,,continuous,458,10000,0.01,100,100.0,1
1659,[3],39,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1650,[3],6,0.005,8,,continuous,458,10000,0.01,100,100.0,1
1712,[3],5,0.004,16,,continuous,458,10000,0.01,100,100.0,1
1643,[3],14,0.004,8,,continuous,458,10000,0.01,100,100.0,1
1713,[3],24,0.004,16,,continuous,458,10000,0.01,100,100.0,1
1721,[3],13,0.006,16,,continuous,458,10000,0.01,100,100.0,1
1718,[2],129,0.004,4,,continuous,458,10000,0.01,100,100.0,1
1776,[2],3,0.005,16,,continuous,458,10000,0.01,100,100.0,1
1719,[3],0,0.006,16,,continuous,458,10000,0.01,100,100.0,1
