file,arch,stratum,test,LR,df,p,best_level_by_OR
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",clip=0.6,within_clip_bs,10.999871640546672,2,0.004087033734754941,4
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",clip=0.6,within_clip_lr,2.266693597638138,2,0.32195393624235136,0.006
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",clip=0.8,within_clip_bs,22.995163701165268,2,1.015461932007966e-05,4
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",clip=0.8,within_clip_lr,1.8649788672219074,2,0.3935727166696469,0.005
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",clip=0.9,within_clip_bs,8.111054354912667,2,0.01732634371759978,4
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",clip=0.9,within_clip_lr,0.11160220797951581,2,0.9457272185558785,0.006
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",clip=0.6,within_clip_bs,1.2878794471414636,2,0.5252191244467348,8
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",clip=0.6,within_clip_lr,2.4186331894857034,2,0.2984011386696209,0.006
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",clip=0.8,within_clip_bs,6.105853546452451,2,0.047220518199776684,4
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",clip=0.8,within_clip_lr,4.909461496348584,2,0.08588631737597241,0.005
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",clip=0.9,within_clip_bs,4.96603864048609,2,0.08349075930602812,4
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",clip=0.9,within_clip_lr,10.775133265237955,2,0.00457308781015886,0.006
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",clip=0.6,within_clip_bs,0.562462730415902,2,0.7548536683990827,8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",clip=0.6,within_clip_lr,0.14230185402797701,2,0.9313213199739038,0.005
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",clip=0.8,within_clip_bs,4.390272486517723,2,0.11134339068507548,8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",clip=0.8,within_clip_lr,1.1112250234575072,2,0.5737207428688402,0.006
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",clip=0.9,within_clip_bs,1.9706156162089172,2,0.37332429700517655,8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",clip=0.9,within_clip_lr,6.255755684493522,2,0.043810671827539394,0.006
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",clip=0.6,within_clip_bs,4.759599078886708,2,0.09256913211029949,4
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",clip=0.6,within_clip_lr,1.4861669418863244,2,0.4756450144466713,0.006
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",clip=0.8,within_clip_bs,1.718955701555359,2,0.42338309376540306,4
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",clip=0.8,within_clip_lr,6.57536408928425,2,0.03734030231431884,0.006
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",clip=0.9,within_clip_bs,3.028788899477263,2,0.21994133006053773,4
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",clip=0.9,within_clip_lr,0.7058554001998516,2,0.7026279914744437,0.006
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",clip=0.6,within_clip_bs,0.7021657976062592,2,0.7039253968638992,8
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",clip=0.6,within_clip_lr,0.7021657976062485,2,0.7039253968639032,0.006
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",clip=0.8,within_clip_bs,6.037732062975962,2,0.04885658879521415,4
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",clip=0.8,within_clip_lr,2.4768923995848127,2,0.28983421270740584,0.006
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",clip=0.9,within_clip_bs,4.196419635201664,2,0.1226758439339527,4
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",clip=0.9,within_clip_lr,4.286046158664192,2,0.11729970018048186,0.005
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",clip=0.6,within_clip_bs,10.544011565600847,2,0.005133303947292722,8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",clip=0.6,within_clip_lr,0.0,2,1.0,0.006
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",clip=0.8,within_clip_bs,20.400616517446636,2,3.7158862374986334e-05,8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",clip=0.8,within_clip_lr,1.7997566898677135,2,0.40661912400817524,0.006
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",clip=0.9,within_clip_bs,14.420943611088738,2,0.0007388084992741017,8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",clip=0.9,within_clip_lr,9.795411958293336,2,0.007463685296706268,0.005
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",clip=0.6,within_clip_bs,2.228112812478116,2,0.3282248437396327,8
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",clip=0.6,within_clip_lr,0.11889765440980682,2,0.9422837516508392,0.006
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",clip=0.8,within_clip_bs,7.624999864028538,2,0.02209287916706293,16
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",clip=0.8,within_clip_lr,2.874144212620351,2,0.23762247450245355,0.006
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",clip=0.9,within_clip_bs,4.532602873290273,2,0.10369499422125017,8
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",clip=0.9,within_clip_lr,11.896853364551134,2,0.002609943560331063,0.006
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",clip=0.6,within_clip_bs,26.734942528701765,2,1.5652401983423658e-06,8
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",clip=0.6,within_clip_lr,0.20388415573501106,2,0.9030818585810644,0.005
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",clip=0.8,within_clip_bs,3.5425361176075683,2,0.17011713346692248,16
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",clip=0.8,within_clip_lr,2.9066366919607844,2,0.23379319276983124,0.005
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",clip=0.9,within_clip_bs,0.941624561306142,2,0.6244947971644375,16
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",clip=0.9,within_clip_lr,4.224934429310707,2,0.12093921503926619,0.005
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",clip=0.6,within_clip_bs,2.213320127990414,2,0.33066150710665587,8
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",clip=0.6,within_clip_lr,3.2071576231118115,2,0.20117525979636264,0.006
