file,arch,stratum,test,LR,df,p,best_level_by_OR
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",lr=0.004,within_lr_bs,7.745467275719761,2,0.0208014280608525,4
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",lr=0.004,within_lr_clip,2.960111005904963,2,0.22762505417063272,0.8
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",lr=0.005,within_lr_bs,7.666405433858927,2,0.0216401970996275,4
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",lr=0.005,within_lr_clip,0.6148881991554731,2,0.7353239713194281,0.8
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",lr=0.006,within_lr_bs,8.120604489595621,2,0.01724380647683743,4
"n=2,out=6,arch=[2],model=binarized.json","n=2, out=6, arch=[2]",lr=0.006,within_lr_clip,0.4294531969369473,2,0.8067619799888982,0.8
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",lr=0.004,within_lr_bs,1.7419896924264435,2,0.418534964138764,8
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",lr=0.004,within_lr_clip,6.175709509455572,2,0.04559967203385029,0.9
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",lr=0.005,within_lr_bs,1.4591777325931616,2,0.48210715985235186,4
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",lr=0.005,within_lr_clip,10.376525061895393,2,0.0055816964195766205,0.9
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",lr=0.006,within_lr_bs,3.811811114913013,2,0.14868793616983833,4
"n=3,out=25,arch=[3],model=binarized.json","n=3, out=25, arch=[3]",lr=0.006,within_lr_clip,19.475565138690428,2,5.9011243209172726e-05,0.9
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",lr=0.004,within_lr_bs,2.732802361836548,2,0.25502309203639617,8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",lr=0.004,within_lr_clip,1.6559919427572254,2,0.43692401777233814,0.8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",lr=0.005,within_lr_bs,1.244911735172309,2,0.5366249382083098,8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",lr=0.005,within_lr_clip,2.4194636833243237,2,0.29827725423916374,0.8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",lr=0.006,within_lr_bs,0.3475280563275476,2,0.8404952074571905,8
"n=3,out=25,arch=[4],model=binarized.json","n=3, out=25, arch=[4]",lr=0.006,within_lr_clip,3.9281166200552207,2,0.14028793217204305,0.8
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",lr=0.004,within_lr_bs,3.4050596741649883,2,0.18222194860074925,4
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",lr=0.004,within_lr_clip,2.151973282745729,2,0.34096118288058874,0.8
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",lr=0.005,within_lr_bs,2.376511872434378,2,0.3047523083082291,4
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",lr=0.005,within_lr_clip,0.5527667845285578,2,0.7585220635152417,0.9
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",lr=0.006,within_lr_bs,0.8776682936285454,2,0.6447877108580775,4
"n=3,out=30,arch=[3],model=binarized.json","n=3, out=30, arch=[3]",lr=0.006,within_lr_clip,6.018806509861662,2,0.049321102104958214,0.8
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",lr=0.004,within_lr_bs,4.185743082706779,2,0.1233324725508963,8
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",lr=0.004,within_lr_clip,1.857646877742411,2,0.39501820012715894,0.9
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",lr=0.005,within_lr_bs,2.2516319937104754,2,0.3243876600216109,4
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",lr=0.005,within_lr_clip,2.001110257280928,2,0.36767527743122286,0.9
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",lr=0.006,within_lr_bs,4.716768706951541,2,0.09457289620132103,4
"n=3,out=30,arch=[4],model=binarized.json","n=3, out=30, arch=[4]",lr=0.006,within_lr_clip,0.16456611701792667,2,0.9210112217330193,0.8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",lr=0.004,within_lr_bs,7.945078902251993,2,0.01882556577825567,8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",lr=0.004,within_lr_clip,3.66085269058496,2,0.16034519078284204,0.8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",lr=0.005,within_lr_bs,12.837524333676754,2,0.0016306734877382656,8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",lr=0.005,within_lr_clip,1.060094942913011,2,0.5885770284063498,0.8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",lr=0.006,within_lr_bs,6.214474651413397,2,0.044724343615378914,8
"n=4,out=1969,arch=[2],model=binarized.json","n=4, out=1969, arch=[2]",lr=0.006,within_lr_clip,1.3380000486990582,2,0.5122205298315952,0.8
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",lr=0.004,within_lr_bs,0.5892463757078303,2,0.7448121888748997,16
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",lr=0.004,within_lr_clip,1.7623280376701587,2,0.4143003774538636,0.8
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",lr=0.005,within_lr_bs,2.032284173624845,2,0.36198877105866756,8
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",lr=0.005,within_lr_clip,9.440679539203785,2,0.008912149956314286,0.9
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",lr=0.006,within_lr_bs,3.2901646663923714,2,0.1929966721067372,8
"n=4,out=1969,arch=[3],model=binarized.json","n=4, out=1969, arch=[3]",lr=0.006,within_lr_clip,13.560151816774493,2,0.0011361886487983863,0.9
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",lr=0.004,within_lr_bs,10.088765062600032,2,0.006445438992220276,8
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",lr=0.004,within_lr_clip,18.2504840611424,2,0.00010888241379292118,0.8
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",lr=0.005,within_lr_bs,1.3344176227896583,2,0.5131388480865392,8
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",lr=0.005,within_lr_clip,8.27840285509842,2,0.01593557213355712,0.8
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",lr=0.006,within_lr_bs,7.0234833204860365,2,0.02984488948770636,8
"n=4,out=27030,arch=[5],model=binarized.json","n=4, out=27030, arch=[5]",lr=0.006,within_lr_clip,9.400309447218405,2,0.009093869956458,0.8
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",lr=0.004,within_lr_bs,7.054677223232204,2,0.029383011505036416,16
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",lr=0.004,within_lr_clip,36.367092237862664,2,1.2676117600030068e-08,0.8
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",lr=0.005,within_lr_bs,5.5798573547992305,2,0.06142559479192122,16
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",lr=0.005,within_lr_clip,33.92795840827944,2,4.291779887033442e-08,0.8
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",lr=0.006,within_lr_bs,2.0623013809949384,2,0.35659639231588636,16
"n=4,out=27030,arch=[6],model=binarized.json","n=4, out=27030, arch=[6]",lr=0.006,within_lr_clip,25.88227678814019,2,2.3973696661183652e-06,0.8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.004,within_lr_bs,0.05235946618452658,2,0.9741599850867033,16
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.004,within_lr_clip,13.145931429437184,2,0.0013976462395584033,0.8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.005,within_lr_bs,1.128047865171368,2,0.5689151754050099,8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.005,within_lr_clip,8.953455097647009,2,0.011370561946530966,0.8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.006,within_lr_bs,3.889523245162394,2,0.1430213123261751,8
"n=4,out=361,arch=[3],model=binarized.json","n=4, out=361, arch=[3]",lr=0.006,within_lr_clip,8.769742520234502,2,0.012464492708373909,0.8
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.004,within_lr_bs,3.9494722177455515,2,0.1387979349540499,16
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.004,within_lr_clip,8.853120902794103,2,0.011955540697124123,0.8
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.005,within_lr_bs,1.6068919518090752,2,0.44778325210641323,16
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.005,within_lr_clip,0.8294431003313605,2,0.66052417794863,0.8
"n=4,out=361,arch=[4],model=binarized.json","n=4, out=361, arch=[4]",lr=0.006,within_lr_bs,3.5652086682711683,2,0.16819952858781662,16
