file,model,arch,rows,seeds,levels_lr,levels_bs,levels_clip,LL_null,LL_full,df_global,LR_global,p_global,AIC_null,AIC_full,dAIC,df_lr,LR_lr,p_lr,df_bs,LR_bs,p_bs,df_clip,LR_clip,p_clip
"n=2,out=6,arch=[2],model=continuous.json",continuous,"n=2, out=6, arch=[2]",270,30,"0.004,0.005,0.006","1,2,4",,-42.732636418309795,-23.606286358094884,4,38.25270012042982,9.937948275418051e-08,145.4652728366196,115.21257271618977,-30.25270012042982,2,1.2463810783534086,0.5362308398955706,2,35.83121588425134,1.6571061522974162e-08,,,
"n=3,out=25,arch=[3],model=continuous.json",continuous,"n=3, out=25, arch=[3]",270,30,"0.004,0.005,0.006","2,4,8",,-48.007237258169475,-39.67561205580585,4,16.66325040472725,0.0022468725406096235,156.01447451633896,147.3512241116117,-8.66325040472725,2,1.4210854715202004e-14,0.9999999999999929,2,16.663250404727236,0.00024078040983044335,,,
"n=3,out=25,arch=[4],model=continuous.json",continuous,"n=3, out=25, arch=[4]",270,30,"0.004,0.005,0.006","2,4,8",,-33.864520041210895,-23.463784228610777,4,20.801471625200236,0.0003466975006333195,127.72904008242179,114.92756845722155,-12.801471625200236,2,0.5111070660399832,0.7744876747865659,2,20.00344514287967,4.5321792457975185e-05,,,
"n=3,out=30,arch=[3],model=continuous.json",continuous,"n=3, out=30, arch=[3]",270,30,"0.004,0.005,0.006","2,4,8",,-57.286275147952395,-52.95693599680648,4,8.658678302291833,0.07022071631330284,174.5725502959048,173.91387199361296,-0.6586783022918326,2,0.0,1.0,2,8.658678302291833,0.013176252124656784,,,
"n=3,out=30,arch=[4],model=continuous.json",continuous,"n=3, out=30, arch=[4]",270,30,"0.004,0.005,0.006","2,4,8",,-67.78225845398256,-55.27390663283401,4,25.016703642297102,4.9922254454548565e-05,195.56451690796513,178.54781326566803,-17.016703642297102,2,0.0849372568274589,0.9584205322217345,2,24.907861945416016,3.902352534557174e-06,,,
"n=4,out=1969,arch=[2],model=continuous.json",continuous,"n=4, out=1969, arch=[2]",270,30,"0.004,0.005,0.006","4,8,16",,-23.368536735180854,-23.123456728087106,4,0.4901600141874951,0.9744518058506285,106.73707347036171,114.24691345617421,7.509839985812505,2,0.2442445652896197,0.8850401368366395,2,0.24424456528960548,0.8850401368366458,,,
"n=4,out=1969,arch=[3],model=continuous.json",continuous,"n=4, out=1969, arch=[3]",270,30,"0.004,0.005,0.006","4,8,16",,-37.9652806268617,-37.272685612814136,4,1.3851900280951241,0.8467649332033386,135.9305612537234,142.5453712256283,6.61480997190489,2,1.4210854715202004e-14,0.9999999999999929,2,1.3851900280951241,0.500276159492187,,,
"n=4,out=27030,arch=[5],model=continuous.json",continuous,"n=4, out=27030, arch=[5]",270,30,"0.004,0.005,0.006","4,8,16",,-41.86768823090312,-34.43566270811206,4,14.864051045582116,0.004991651290103594,143.73537646180625,136.87132541622412,-6.86405104558213,2,0.5967103794117605,0.7420377287719587,2,14.122640781740344,0.0008576449195007996,,,
"n=4,out=27030,arch=[6],model=continuous.json",continuous,"n=4, out=27030, arch=[6]",270,30,"0.004,0.005,0.006","4,8,16",,-88.96246483770918,-60.75832311125329,4,56.408283452911775,1.6464274388283684e-11,237.92492967541835,189.51664622250658,-48.408283452911775,2,2.5539566517458923,0.27887870916158386,2,52.40118916510667,4.1804337769235644e-12,,,
"n=4,out=361,arch=[3],model=continuous.json",continuous,"n=4, out=361, arch=[3]",270,30,"0.004,0.005,0.006","4,8,16",,-36.042737180592844,-32.7945192776006,4,6.49643580598449,0.16501509491430788,132.08547436118567,133.5890385552012,1.5035641940155244,2,0.49243946627431967,0.781750429577236,2,5.950329245957775,0.05103903111517738,,,
"n=4,out=361,arch=[4],model=continuous.json",continuous,"n=4, out=361, arch=[4]",270,30,"0.004,0.005,0.006","4,8,16",,-21.95323833732357,-16.03579971730045,4,11.83487724004624,0.018622345273475394,103.90647667464714,100.0715994346009,-3.8348772400462394,2,0.27004318341192146,0.8736970468746386,2,11.486663395531572,0.003204075461529454,,,
"n=4,out=426,arch=[3],model=continuous.json",continuous,"n=4, out=426, arch=[3]",270,30,"0.004,0.005,0.006","4,8,16",,-5.728627516711267,-2.881590965921067e-09,4,11.457255027659352,0.02187838039118961,71.45725503342254,68.00000000576318,-3.4572550276593574,2,0.0,1.0,2,11.457255027659352,0.00325153686189672,,,
"n=4,out=426,arch=[4],model=continuous.json",continuous,"n=4, out=426, arch=[4]",270,30,"0.004,0.005,0.006","4,8,16",,-55.363731701683506,-42.474192670657395,4,25.77907806205222,3.506163441435728e-05,170.727463403367,152.9483853413148,-17.779078062052207,2,0.31433570627373797,0.854560606100149,2,25.344921642455475,3.136318741159272e-06,,,
