file,model,arch,variable,level_vs_baseline,beta,OR,OR_CI_low,OR_CI_high
"n=2,out=6,arch=[2],model=continuous.json",continuous,"n=2, out=6, arch=[2]",bs,2,-0.7919178258429387,0.45297523410525337,0.07590173333187356,2.703318537082007
"n=2,out=6,arch=[2],model=continuous.json",continuous,"n=2, out=6, arch=[2]",bs,4,4.215546384374709,67.73116301183212,7.7041578330959135,595.4590420289825
"n=2,out=6,arch=[2],model=continuous.json",continuous,"n=2, out=6, arch=[2]",lr,0.005,1.2439329786625184,3.469231080127364,0.5400533912753467,22.28587854785886
"n=2,out=6,arch=[2],model=continuous.json",continuous,"n=2, out=6, arch=[2]",lr,0.006,1.2439329786625148,3.469231080127352,0.5400533912753446,22.285878547858793
"n=3,out=25,arch=[3],model=continuous.json",continuous,"n=3, out=25, arch=[3]",bs,4,-1.377388254478058,0.2522364710022638,0.05245728422792734,1.21285800895129
"n=3,out=25,arch=[3],model=continuous.json",continuous,"n=3, out=25, arch=[3]",bs,8,-2.78812346866665,0.061536580958525856,0.012734414785686335,0.29736355064557574
"n=3,out=25,arch=[3],model=continuous.json",continuous,"n=3, out=25, arch=[3]",lr,0.005,3.260320656404322e-15,1.0000000000000033,0.26531593763049494,3.7690913291183628
"n=3,out=25,arch=[3],model=continuous.json",continuous,"n=3, out=25, arch=[3]",lr,0.006,-1.0770603376248244e-15,0.9999999999999989,0.2653159376304939,3.769091329118344
"n=3,out=25,arch=[4],model=continuous.json",continuous,"n=3, out=25, arch=[4]",bs,4,0.42863620750886366,1.5351624522267155,0.24676086765353553,9.55063814265599
"n=3,out=25,arch=[4],model=continuous.json",continuous,"n=3, out=25, arch=[4]",bs,8,-2.988672041959086,0.05035426068943711,0.00804732124736182,0.31508019770069834
"n=3,out=25,arch=[4],model=continuous.json",continuous,"n=3, out=25, arch=[4]",lr,0.005,0.39295277235602744,1.4813484270810877,0.2586713752753783,8.48332429546752
"n=3,out=25,arch=[4],model=continuous.json",continuous,"n=3, out=25, arch=[4]",lr,0.006,0.8051303783196055,2.2369881345620466,0.37348575769783127,13.398411615523948
"n=3,out=30,arch=[3],model=continuous.json",continuous,"n=3, out=30, arch=[3]",bs,4,-1.5262542012465543,0.21734828735412248,0.0642845268366797,0.734862343092112
"n=3,out=30,arch=[3],model=continuous.json",continuous,"n=3, out=30, arch=[3]",bs,8,-9.908740494779522e-15,0.9999999999999901,0.34828304770251955,2.8712278894897985
"n=3,out=30,arch=[3],model=continuous.json",continuous,"n=3, out=30, arch=[3]",lr,0.005,-1.4830539802566135e-14,0.9999999999999851,0.3244405997403766,3.0822283055825594
"n=3,out=30,arch=[3],model=continuous.json",continuous,"n=3, out=30, arch=[3]",lr,0.006,-1.942890293094024e-14,0.9999999999999806,0.324440599740375,3.082228305582547
"n=3,out=30,arch=[4],model=continuous.json",continuous,"n=3, out=30, arch=[4]",bs,4,-1.3492952025498832,0.2594230369231234,0.08404695158712389,0.8007466162131066
"n=3,out=30,arch=[4],model=continuous.json",continuous,"n=3, out=30, arch=[4]",bs,8,-2.8634987968334067,0.05706873862997819,0.015901366382127545,0.20481516182642734
"n=3,out=30,arch=[4],model=continuous.json",continuous,"n=3, out=30, arch=[4]",lr,0.005,0.16334847952778855,1.1774469343550618,0.38379086690052977,3.6123352658661703
"n=3,out=30,arch=[4],model=continuous.json",continuous,"n=3, out=30, arch=[4]",lr,0.006,0.16334847952778572,1.1774469343550584,0.3837908669005283,3.612335265866163
"n=4,out=1969,arch=[2],model=continuous.json",continuous,"n=4, out=1969, arch=[2]",bs,16,1.740274591099933e-14,1.0000000000000173,0.18670209489572945,5.356126296057475
"n=4,out=1969,arch=[2],model=continuous.json",continuous,"n=4, out=1969, arch=[2]",bs,8,0.37002287709139997,1.4477677349992741,0.26677363890525624,7.856966014731786
"n=4,out=1969,arch=[2],model=continuous.json",continuous,"n=4, out=1969, arch=[2]",lr,0.005,9.356426060358145e-15,1.0000000000000093,0.1867020948957282,5.356126296057425
"n=4,out=1969,arch=[2],model=continuous.json",continuous,"n=4, out=1969, arch=[2]",lr,0.006,0.37002287709139514,1.447767734999267,0.2667736389052554,7.8569660147317375
"n=4,out=1969,arch=[3],model=continuous.json",continuous,"n=4, out=1969, arch=[3]",bs,16,-4.014662117965711e-14,0.9999999999999598,0.2636621200912314,3.79273291003616
"n=4,out=1969,arch=[3],model=continuous.json",continuous,"n=4, out=1969, arch=[3]",bs,8,-0.698461887787189,0.49734969542122504,0.12851850153699637,1.9246778991146205
"n=4,out=1969,arch=[3],model=continuous.json",continuous,"n=4, out=1969, arch=[3]",lr,0.005,-1.3247665728455738e-14,0.9999999999999868,0.26153325013091605,3.8236056008152004
"n=4,out=1969,arch=[3],model=continuous.json",continuous,"n=4, out=1969, arch=[3]",lr,0.006,-1.514836799066401e-14,0.9999999999999849,0.2615332501309154,3.8236056008151964
"n=4,out=27030,arch=[5],model=continuous.json",continuous,"n=4, out=27030, arch=[5]",bs,16,2.204391944688245,9.064738029649597,2.0163675471511935,40.7512388613217
"n=4,out=27030,arch=[5],model=continuous.json",continuous,"n=4, out=27030, arch=[5]",bs,8,4.316870077107364e-15,1.0000000000000042,0.17619599271346564,5.675497975860515
"n=4,out=27030,arch=[5],model=continuous.json",continuous,"n=4, out=27030, arch=[5]",lr,0.005,1.4830716476893184e-14,1.0000000000000149,0.24515111904550543,4.079116603234464
"n=4,out=27030,arch=[5],model=continuous.json",continuous,"n=4, out=27030, arch=[5]",lr,0.006,-0.565321183010603,0.5681776284469574,0.12825800160997658,2.5170033324649714
