file,model,arch,hp,n,successes,p_hat,wilson_low,wilson_high
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=1, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=1, clip=0.8",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=1, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=2, clip=0.6",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=2, clip=0.8",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=2, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=4, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=4, clip=0.8",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.004, bs=4, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=1, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=1, clip=0.8",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=1, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=2, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=2, clip=0.8",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=2, clip=0.9",10,1,0.1,0.01787574951572113,0.4041563854975721
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=4, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=4, clip=0.8",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.005, bs=4, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=1, clip=0.6",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=1, clip=0.8",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=1, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=2, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=2, clip=0.8",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=2, clip=0.9",10,1,0.1,0.01787574951572113,0.4041563854975721
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=4, clip=0.6",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=4, clip=0.8",10,3,0.3,0.10778928748621182,0.6032267800204347
"n=2,out=6,arch=[2],model=binarized.json",binarized,"n=2, out=6, arch=[2]","lr=0.006, bs=4, clip=0.9",10,2,0.2,0.05668094798069328,0.5098431532792767
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]","lr=0.004, bs=2, clip=0.6",10,4,0.4,0.16817758120350967,0.6873304525498135
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]","lr=0.004, bs=2, clip=0.8",10,6,0.6,0.3126695474501863,0.8318224187964901
"n=3,out=25,arch=[3],model=binarized.json",binarized,"n=3, out=25, arch=[3]","lr=0.004, bs=2, clip=0.9",10,8,0.8,0.49015684672072346,0.9433190520193067
