canonical,minimal_architecture
0,[]
1,[]
1020,[2]
105,[3]
107,[3]
111,[2]
126,[2]
127,[]
15,[]
15555,[3]
1632,[2]
1633,[2]
1634,[2]
1635,[2]
1638,[2]
1639,[2]
1641,[3]
1643,[3]
1647,[2]
1650,[3]
1651,[2]
1654,[2]
1656,[2]
1657,[3]
1658,[3]
1659,[3]
1662,[2]
1680,[3]
1681,[3]
1683,[3]
1686,[3]
1687,[3]
1695,[3]
1712,[3]
1713,[3]
1714,[3]
1715,[3]
1716,[3]
1717,[3]
1718,[3]
1719,[3]
1721,[3]
1725,[3]
1776,[3]
1777,[2]
1778,[3]
1782,[3]
1785,[3]
1910,[3]
1912,[2]
1913,[3]
1914,[2]
1918,[2]
1968,[2]
1969,[2]
1972,[3]
1973,[2]
1974,[3]
1980,[3]
2016,[2]
2017,[2]
2018,[3]
2019,[2]
2022,[3]
2025,[2]
2032,[2]
2033,[2]
2034,[2]
2040,[2]
22,[2]
23,[]
24,[2]
25,[2]
255,[]
27,[2]
27030,[5]
278,[3]
279,[]
280,[2]
281,[2]
282,[2]
283,[2]
286,[2]
287,[]
3,[]
30,[2]
300,[3]
301,[2]
303,[2]
31,[]
316,[2]
317,[2]
318,[3]
319,[]
360,[3]
361,[3]
362,[3]
363,[3]
366,[2]
367,[3]
382,[2]
383,[]
384,[2]
385,[2]
386,[2]
387,[2]
390,[3]
391,[2]
393,[2]
395,[2]
399,[2]
406,[3]
407,[3]
408,[3]
4080,[2]
409,[2]
410,[3]
411,[2]
414,[3]
415,[2]
424,[2]
425,[3]
426,[3]
427,[2]
428,[3]
429,[2]
430,[2]
431,[2]
444,[3]
445,[2]
446,[3]
447,[2]
488,[2]
489,[2]
490,[2]
491,[2]
494,[3]
495,[3]
510,[3]
5736,[2]
5737,[3]
5738,[3]
5739,[3]
5742,[3]
5758,[2]
5761,[3]
5763,[3]
5766,[3]
5767,[3]
5769,[3]
5771,[3]
5774,[3]
5782,[3]
5783,[3]
5784,[3]
5785,[3]
5786,[3]
5787,[3]
5790,[3]
5801,[3]
5804,[3]
5805,[3]
5820,[3]
5865,[3]
6,[2]
60,[2]
6014,[2]
6030,[2]
6038,[3]
6040,[3]
6042,[3]
6060,[3]
61,[2]
6120,[2]
63,[]
6375,[3]
6625,[3]
6627,[3]
6630,[3]
7,[]
7128,[3]
7140,[3]
7905,[3]
828,[2]
829,[3]
831,[]
854,[2]
855,[2]
856,[3]
857,[3]
858,[2]
859,[2]
862,[3]
863,[2]
872,[3]
873,[3]
874,[3]
875,[3]
876,[2]
877,[3]
878,[2]
879,[3]
892,[2]
893,[3]
894,[2]
960,[2]
961,[2]
963,[2]
965,[2]
966,[2]
967,[2]
975,[2]
980,[2]
981,[2]
982,[2]
983,[2]
984,[3]
985,[3]
987,[2]
988,[2]
989,[2]
990,[2]
