canonical,minimal_architecture
0,[]
24,[2]
105,[2]
280,[3]
303,[2]
363,[3]
387,[2]
408,[3]
426,[4]
446,[5]
510,[3]
858,[2]
876,[2]
961,[2]
982,[3]
1020,[3]
1643,[4]
1659,[4]
1712,[3]
1721,[3]
1912,[3]
1974,[3]
2032,[2]
5739,[3]
5771,[3]
5790,[3]
6038,[3]
6630,[3]
1,[]
25,[2]
107,[2]
281,[2]
316,[2]
366,[3]
390,[3]
409,[2]
427,[2]
447,[2]
828,[2]
859,[2]
877,[3]
963,[2]
983,[2]
1632,[2]
1647,[2]
1662,[2]
1713,[3]
1725,[3]
1913,[3]
1980,[3]
2033,[2]
5742,[3]
5774,[4]
5801,[3]
6040,[3]
7128,[3]
3,[]
27,[2]
111,[2]
282,[3]
317,[3]
367,[2]
391,[3]
410,[3]
428,[4]
488,[2]
829,[3]
862,[3]
878,[3]
965,[2]
984,[3]
1633,[2]
1650,[3]
1680,[3]
1714,[4]
1776,[4]
1914,[3]
2016,[2]
2034,[2]
5758,[2]
5782,[3]
5804,[3]
6042,[4]
7140,[3]
6,[2]
30,[2]
126,[2]
283,[2]
318,[3]
382,[3]
393,[2]
411,[2]
429,[3]
489,[3]
831,[]
863,[2]
879,[3]
966,[3]
985,[3]
1634,[3]
1651,[3]
1681,[3]
1715,[4]
1777,[4]
1918,[3]
2017,[2]
2040,[2]
5761,[3]
5783,[3]
5805,[3]
6060,[3]
7905,[3]
7,[]
31,[]
127,[]
286,[4]
319,[]
383,[]
395,[2]
414,[3]
430,[4]
490,[3]
854,[4]
872,[2]
892,[3]
967,[2]
987,[2]
1635,[3]
1654,[3]
1683,[3]
1716,[4]
1778,[4]
1968,[2]
2018,[2]
4080,[2]
5763,[3]
5784,[3]
5820,[3]
6120,[2]
15555,[2]
15,[]
60,[2]
255,[]
287,[]
360,[3]
384,[2]
399,[2]
415,[2]
431,[2]
491,[2]
855,[2]
873,[4]
893,[3]
975,[2]
988,[3]
1638,[2]
1656,[3]
1686,[3]
1717,[3]
1782,[3]
1969,[2]
2019,[3]
5736,[2]
5766,[3]
5785,[3]
5865,[3]
6375,[3]
27030,[5]
22,[2]
61,[2]
278,[3]
300,[3]
361,[3]
385,[2]
406,[3]
424,[3]
444,[3]
494,[3]
856,[3]
874,[3]
894,[3]
980,[2]
989,[3]
1639,[2]
1657,[3]
1687,[3]
1718,[3]
1785,[4]
1972,[3]
2022,[3]
5737,[3]
5767,[3]
5786,[3]
6014,[3]
6625,[3]
23,[]
63,[]
279,[]
301,[2]
362,[3]
386,[3]
407,[2]
425,[3]
445,[2]
495,[3]
857,[3]
875,[3]
960,[2]
981,[2]
990,[3]
1641,[3]
1658,[3]
1695,[2]
1719,[3]
1910,[3]
1973,[3]
2025,[2]
5738,[2]
5769,[3]
5787,[3]
6030,[3]
6627,[3]
